#SampleID	Breed	Antibiotic treatment	Neuter status	Sex	Health	Label 
#q2:types	categorical	categorical 	categorical	categorical	categorical	categorical
CRGV-EC-0001	BC	CA	N	M	A	BCCANMA
CRGV-EC-0002	SB	CA	E	F	A	SBCAEFA
CRGV-EC-0004	U	CA	N	F	A	UCANFA
CRGV-EC-0006	B	CA	N	F	A	BCANFA
CRGV-EC-0007	LR	CA	N	F	A	LRCRANFA
CRGV-EC-0009	JRX	NAT	U	F	A	JRXNATUFA
CRGV-EC-0010	BCX	MCL	N	F	A	BCXMCLNFA
CRGV-EC-0011	D	CF	N	M	A	DCFNMA
CRGV-EC-0012	GSX	CA	N	F	A	GSXCANFA
CRGV-EC-0013	LR	NAT	U	F	A	LRNATUFA
CRGV-EC-0014	U	CA	N	M	A	UCANMA
CRGV-EC-0015	G	NAT	E	M	A	GNATEMA
CRGV-EC-0016	JR	CACF	N	M	A	JRCACFNMA
CRGV-EC-0017	LR	CAM	N	M	A	LRCAMNMA
CRGV-EC-0018	LR	CA	N	M	A	LRCANMA
CRGV-EC-0019	HV	CA	N	F	A	HVCANFA
CRGV-EC-0020	WEX	NAT	N	M	A	WEXNATNMA
CRGV-EC-0021	U	NAT	E	F	A	UNATEFA
CRGV-EC-0022	FR	CL	E	F	A	FRCLEFA
CRGV-EC-0023	FR	CA	E	F	A	FRCAEFA
CRGV-EC-0024	U	NAT	U	U	A	UNATUUA
CRGV-EC-0025	SB	NAT	N	M	A	SBNATNMA
CRGV-EC-0026	CB	CACF	N	F	A	CBCACFNFA
CRGV-EC-0027	HV	NAT	N	F	A	HVNATNFA
CRGV-EC-0028	EC	CAM	N	F	A	ECCAMNFA
CRGV-EC-0029	SB	NAT	N	F	A	SBNATNFA
CRGV-EC-0030	SB	NAT	N	M	A	SBNATNMA
CRGV-EC-0031	SG	CA	U	M	A	SGCAUMA
CRGV-EC-0032	W	CLE	N	M	A	WCLENMA
CRGV-EC-0033	EC	CACF	N	M	H	ECCACFNMH
CRGV-EC-0034	BC	CA	N	F	A	BCCANFA
CRGV-EC-0035	JR	CA	U	F	A	JRCAUFA
CRGV-EC-0036	W	NAT	E	M	A	WNATEMA
CRGV-EC-0037	PU	CAM	U	F	A	PUCAMUFA
CRGV-EC-0038	JR	CA	N	F	A	JRCANFA
CRGV-EC-0039	N	CACF	E	F	A	NCACFEFA
CRGV-EC-0040	BC	CA	N	F	A	BCCANFA
CRGV-EC-0041	AB	UK	U	M	A	ABUKUMA
CRGV-EC-0042	WE	CA	U	M	A	WECAUMA
CRGV-EC-0043	U	UK	N	M	A	UUKNMA
